Avengers: Endgame,2019,8.4,947812,Action; Adventure; Drama,,,,,,,,,
Cyrano,2021,6.9,86,Drama; Musical; Romance,,,,,,,,,
Blue Bloods,2021,7.6,35262,Crime; Drama; Mystery,,,,,,,,,
Dexter: New Blood,2021,No Rate,No Votes,Drama,,,,,,,,,
Wrath of Man,2021,7.2,117483,Action; Crime; Thriller,,,,,,,,,
Hocus Pocus 2,2022,No Rate,No Votes,Comedy; Family; Fantasy,,,,,,,,,
Community,2022,8.5,237389,Comedy,,,,,,,,,
The Duff,2015,6.5,89023,Comedy; Romance,,,,,,,,,
NCIS: Hawai'i,2015,5.4,1734,Action; Crime; Mystery,,,,,,,,,
Family Guy,2015,8.1,316718,Animation; Comedy,,,,,,,,,
Evil,2015,7.7,18024,Crime; Drama; Horror,,,,,,,,,
A Nightmare on Elm Street,1984,7.5,218811,Horror,,,,,,,,,
Tenet,2020,7.4,427885,Action; Sci-Fi; Thriller,,,,,,,,,
Survive the Game,2021,5.5,1935,Action; Thriller,,,,,,,,,
New Girl,2021,7.7,205005,Comedy,,,,,,,,,
Busanhaeng,2016,7.6,190528,Action; Horror; Thriller,,,,,,,,,
FBI: International,2016,6.1,1354,Crime; Drama,,,,,,,,,
Killing Eve,2016,8.2,97938,Action; Adventure; Drama,,,,,,,,,
Dark,2016,8.8,325113,Crime; Drama; Mystery,,,,,,,,,
Hotel Transylvania: Transformania,2022,6.9,316,Animation; Adventure; Comedy,,,,,,,,,
Pretty Smart,2022,5.9,1581,Comedy; Drama; Romance,,,,,,,,,
Heels,2022,8.2,4027,Drama; Sport,,,,,,,,,
Stargirl,2022,7.2,14256,Action; Adventure; Crime,,,,,,,,,
This Is Us,2022,8.6,119228,Comedy; Drama; Romance,,,,,,,,,
Gladiator,2000,8.5,1403705,Action; Adventure; Drama,,,,,,,,,
Kota Factory,2000,9.2,61652,Comedy; Drama,,,,,,,,,
Escape Room: Tournament of Champions,2021,5.8,24494,Action; Adventure; Horror,,,,,,,,,
The 100,2021,7.6,231713,Drama; Mystery; Sci-Fi,,,,,,,,,
GoldenEye,1995,7.2,247470,Action; Adventure; Thriller,,,,,,,,,
The Godfather,1972,9.2,1709439,Crime; Drama,,,,,,,,,
Rocketman,2019,7.3,159046,Biography; Drama; Music,,,,,,,,,
Chucky,2019,7.6,1976,Horror; Mystery; Thriller,,,,,,,,,
Good Witch,2019,7.3,9034,Comedy; Drama; Fantasy,,,,,,,,,
